------------------------------------------------------
|No. |Title               |Quantity|Price  |Result   |
------------------------------------------------------
|1   |Pepper              |42      |1.57   |913.74   |
|2   |Lamb                |95      |6.57   |1911.87  |
|3   |White beer          |38      |2.18   |2007.78  |
|4   |Turnip              |90      |2.95   |2147.60  |
|5   |Dark beer           |30      |2.59   |2232.58  |
|6   |Pastry              |53      |3.54   |2456.76  |
|7   |Apple               |42      |7.44   |3511.68  |
|8   |Milk                |11      |15.72  |6130.80  |
|9   |Scallops            |57      |7.02   |6233.76  |
|10  |Beans               |82      |14.74  |6529.82  |
|11  |Sugar               |91      |10.96  |6586.96  |
|12  |Chocolate           |86      |7.03   |6776.92  |
|13  |Orange              |92      |14.39  |7367.68  |
|14  |Yogurt              |34      |11.61  |7894.80  |
|15  |Pasta               |6       |15.60  |7971.60  |
|16  |Grapes              |34      |13.89  |8000.64  |
|17  |Anchovies           |99      |9.19   |8849.97  |
|18  |Pear                |38      |20.72  |8909.60  |
|19  |Pepsi               |52      |15.84  |8949.60  |
|20  |Olive oil           |97      |12.04  |9270.80  |
|21  |Sandwich Wrap       |96      |8.22   |9559.86  |
|22  |Pickles             |88      |17.61  |11604.99 |
|23  |Pasta, Dry          |82      |19.81  |15966.86 |
|24  |Ministrone soup     |29      |10.38  |16130.52 |
|25  |Eggwhites           |20      |17.29  |16373.63 |
|26  |Sparkling wine      |91      |14.93  |19662.81 |
|27  |Chocolate syrup     |62      |14.65  |21725.95 |
|28  |Rice vinegar        |84      |19.44  |24163.92 |
|29  |Oreo cookies        |85      |19.32  |24555.72 |
|30  |Cambozola Cheese    |86      |20.51  |33205.69 |
------------------------------------------------------
